keyword,bm25
まね,1.08151012044365
ヒト,1.41694087270053
心,1.61386507976078
いつ,0.363518425022673
よう,0.155590562252954
の,0.0491528458416763
サル,0.554917128195058
チンパンジー,0.554917128195058
赤ちゃん,0.856924877292477
発達,0.363518425022673
道すじ,1.08151012044365
共感,0.421135175808748
キーワード,0.33554970849673
誕生,0.415532076932493
謎,0.240362417190416
1,0.011324504844046
章,0.114257433119444
2,0.0110846103034229
共鳴,0.463596738785733
3,0.0126564450783617
前,0.228090410914071
4,0.0182084773315228
他者,0.744632255716889
5,0.0347585182705805
6,0.0644975967902319
みな,0.497300377408983
