keyword,bm25
理系,0.546390200543086
女子,0.690298319672401
リケジョ,1.94234072577653
的,0.228779675960894
生き方,0.365703851217425
ススメ,0.319998467107718
現在,0.09945200086831
注目,0.127806647786509
一,0.0976640873326211
人,0.0457737551523136
著者,0.068889656553973
自身,0.126169337189818
これ,0.0854318247399659
研究,0.0939197236745913
生活,0.199749955510939
人生,0.0864520651815654
さ,0.147000144904476
自分,0.0816231577303076
こと,0.0375311243234779
周囲,0.186169362512632
おしゃれ,0.234961144213852
姿,0.100982495508209
進路,0.196294572043949
多く,0.106019048580917
若者,0.142077329105802
ヒント,0.126169337189818
元気,0.161773471662022
冊,0.100208929627304
1,0.00479498375634399
章,0.0676965387385297
視点,0.223485143931567
2,0.0046934084167274
社会,0.067654588401163
観察,0.171898681193339
3,0.00535894941099443
仕事,0.0920504792517728
しかた,0.234961144213852
場合,0.153919748997405
4,0.00770977223594135
学び,0.186169362512632
成果,0.147502790342729
5,0.0147173349119671
力,0.0761976964933808
未来,0.204553214825426
6,0.0273093555251544
科学リテラシー,0.234961144213852
7,0.0931709383142341
みなさま,0.234961144213852
