keyword,bm25
月経,1.23134809414346
はなし,0.173636311791733
—,0.051516039329708
歴史,0.171461714461135
行動,0.288498581915371
メカニズム,0.114572933848674
毎月,0.41164140704895
一,0.043674361589954
回,0.157732685705951
女性,0.400241953669897
生理現象,0.207839605908839
彼女たち,0.186259729980201
体,0.223911525886869
心,0.0746933898887111
影響,0.092224298367954
男性,0.147257235003184
様子,0.157732685705951
実態,0.0929930579200359
理解,0.092224298367954
まま,0.114572933848674
毎日,0.125677359074546
本書,0.0551228033546304
苦痛,0.164679854051563
方,0.0670619482843443
病気,0.116169857214878
関連,0.301158794714932
基礎,0.0914740649574393
知識,0.0830785805921496
魔女狩り,0.368900898316929
はじめ,0.0989822066779315
タブー,0.157732685705951
犯罪,0.233416691112935
自殺,0.276157199844955
文化,0.0980527890030996
面,0.147257235003184
産婦人科学,0.207839605908839
第一人者,0.117853141745988
身近,0.125677359074546
神秘,0.186259729980201
世界,0.0492549641072419
序章,0.0663923917264004
なに,0.133185500795038
の,0.0184097905614493
1,0.00424149932361059
章,0.031342966636556
偏見,0.186259729980201
なか,0.0836498476288808
2,0.00415164881395885
3,0.00474036648652321
周期,0.207839605908839
量,0.136152809777312
異常,0.147257235003184
4,0.00681983409863944
病,0.123529391588844
さ,0.0657369321485413
終章,0.0722014058642045
女と男,0.207839605908839
豊か,0.104097483145908
血,0.147257235003184
補遺,0.207839605908839
生殖,0.186259729980201
医療,0.108896684005818
