keyword,bm25
女子,0.655032593735943
就活,0.778890664856321
—,0.022574894587086
20代,0.159911132401803
就,0.317151395608487
妊,0.353896255963182
婚,0.295657030206755
講座,0.135419569172024
手遅れ,0.159911132401803
前,0.073344396176207
後悔,0.385151811701649
根絶,0.178438284766975
婚活,0.159911132401803
妊活,0.178438284766975
提唱,0.119708601279086
者,0.0553465488467285
神様,0.141383980036631
コラボ,0.159911132401803
講義,0.112019138292687
実現,0.0946295631738119
苦戦,0.14907344302303
将来,0.106054727428079
不安,0.0924008535770723
正体,0.0958177157064169
結婚,0.213995531031416
時代,0.0448676437923663
仕事,0.0699065783179654
生活,0.0766898856841343
マニュアル,0.12285682767146
0時,0.178438284766975
間,0.0812091321240282
目,0.0755275707860584
オリエンテーション,0.159911132401803
女,0.0958177157064169
チャンス,0.130546290657859
1時間目,0.178438284766975
概論,0.178438284766975
三,0.0613109597113362
大,0.0690004226977352
活,0.14907344302303
2時間目,0.178438284766975
いま,0.0619876801817248
何,0.0339098237356976
3時間目,0.178438284766975
女子学生,0.353896255963182
常識,0.190035063875044
ウソ,0.114344868071589
4時間目,0.178438284766975
ため,0.130442963800004
納得,0.126425992382899
コツ,0.116892416806852
5時間目,0.178438284766975
の,0.0158055123148429
職場,0.109879674290841
？—“,0.159911132401803
ヒント,0.0958177157064169
6時間目,0.178438284766975
社会,0.0513794259527935
雇用,0.130546290657859
法律,0.119708601279086
知識,0.210434143395795
7時間目,0.178438284766975
お仕事,0.317151395608487
基礎,0.155756305274989
8時間目,0.178438284766975
妊娠,0.141383980036631
9時間目,0.178438284766975
幸せ,0.0946295631738119
方,0.0575752584434681
