keyword,bm25
時,0.123603182706745
の,0.0479086186669549
こと,0.0863950057738887
渇望,0.273931388990769
アスリート,0.273931388990769
たち,0.0677847425758165
トップ,0.19408417730091
ため,0.0513275176542459
記録,0.155329753798534
技,0.171967345382956
以上,0.122564308237322
もの,0.0675156704658845
必要,0.0990193548079685
敗北,0.217047087641842
ケガ,0.273931388990769
挫折,0.171967345382956
心,0.0984454524496069
引退,0.273931388990769
危機,0.11259541272477
それら,0.188604936967378
先,0.151006458911785
本当,0.140240774291167
勝利,0.217047087641842
本書,0.0726515334840554
最強,0.151006458911785
進化,0.14709556297102
境遇,0.245489238316306
言い訳,0.245489238316306
二,0.0720480909950292
七,0.118653412296556
人,0.205492851694144
競技者,0.273931388990769
壁,0.175537713645484
突破,0.245489238316306
足跡,0.20040949605742
渾身,0.175537713645484
ルポルタージュ,0.245489238316306
競争,0.162811018001827
目標,0.175537713645484
運,0.217047087641842
転機,0.217047087641842
一瞬,0.20040949605742
スポーツ,0.183771904472998
人生,0.100790853634729
逆境,0.20040949605742
勝負,0.188604936967378
流れ,0.157675154983656
1,0.00559027138277807
章,0.059915219901447
負け,0.217047087641842
さ,0.0866408933595655
2,0.00547184893483894
自分,0.0951610320322813
闘い,0.179448609586249
3,0.00624777539536014
挑戦,0.141850131530656
4,0.00898850158591191
こだわり,0.245489238316306
5,0.0171583263614351
涙,0.228851646731883
6,0.031838837508552
家族,0.14709556297102
仲間,0.19408417730091
支え,0.228851646731883
