keyword,bm25
新,0.0395258695116073
だれ,0.0629862416948793
部落,0.423581969105672
戦前,0.0563984926740753
同和,0.423581969105672
行政,0.164173898876611
解放運動,0.171489742764581
歴史,0.0241392803812658
京都市,0.256197846157017
戦後,0.0462303277230061
同和対策事業,0.171489742764581
部落解放運動,0.0860932691025934
闘争,0.0609982717441912
スタイル,0.0540472232753596
その後,0.0503371954245146
全国,0.101924864102791
普及,0.0609982717441912
実態,0.0385204558350359
改善,0.0503371954245146
80年代,0.0771542506830737
以降,0.0503371954245146
事業,0.164173898876611
拡大,0.0468302627559968
同和地区,0.0860932691025934
住民,0.0592762138440343
優遇,0.153684053826175
策,0.0540472232753596
継続,0.0629862416948793
なん,0.071925260114399
の,0.0226932141707092
差別意識,0.0860932691025934
不信感,0.071925260114399
市民,0.0462303277230061
間,0.039181948395617
なか,0.0346502237184904
差別,0.125462704559295
解消,0.0563984926740753
寄与,0.0860932691025934
巨額,0.0577572511262046
対策,0.0440759518822882
費,0.0609982717441912
固定,0.0771542506830737
部落民,0.0860932691025934
再生産,0.0860932691025934
舞台,0.0520592533246715
負,0.065337511093595
現代史,0.068215232263554
不朽,0.0771542506830737
名著,0.065337511093595
最新,0.0398792142871652
事情,0.0474594742545556
新た,0.039181948395617
登場,0.0418076170301286
1,0.00175695359442819
章,0.0164393583423978
こと,0.0137519639552112
強制,0.068215232263554
自立,0.0592762138440343
—「,0.0556139757261753
漬け,0.0860932691025934
脱出,0.071925260114399
逆行,0.0771542506830737
—,0.0427197797395787
常識,0.0462303277230061
非常識,0.071925260114399
ほか,0.0855274395289575
2,0.00171973487438383
犯罪,0.0488182327066849
不祥事,0.0771542506830737
システム,0.0398792142871652
採用,0.125462704559295
運動,0.132667155484209
堕落,0.0771542506830737
とき,0.0388469613136135
崩壊,0.0431202349051518
ジャンキー,0.0860932691025934
公務員,0.071925260114399
3,0.00196359902524142
錬金術,0.068215232263554
脱税,0.071925260114399
潤沢,0.0860932691025934
資金源,0.0860932691025934
詐取,0.0771542506830737
食いもの,0.0860932691025934
4,0.00282497558500344
最悪,0.0629862416948793
本音,0.0609982717441912
96,0.0860932691025934
京都市長選,0.0860932691025934
信頼,0.0592762138440343
解放,0.065337511093595
神戸,0.0771542506830737
5,0.00539265110956283
何,0.0163608812083764
解決,0.0422304836858809
座礁,0.0860932691025934
人事権,0.0771542506830737
売買,0.068215232263554
枠,0.0609982717441912
強要,0.071925260114399
便宜,0.0771542506830737
供与,0.0771542506830737
片棒,0.0771542506830737
