keyword,bm25
マヤ文明,1.56085942751977
—,0.0416683296284457
密林,0.58539227473938
石器文化,0.331720885532986
ジャングル,0.277130967682351
神殿,0.297278482115999
ピラミッド,0.297278482115999
広場,0.297278482115999
林立,0.297278482115999
石碑,0.297278482115999
交易,0.297278482115999
黒曜石,0.331720885532986
中米,0.331720885532986
花,0.242688564265364
究極,0.208246160848377
石器,0.331720885532986
文明,0.190938841402698
謎,0.143684939296426
神秘,0.297278482115999
ベール,0.262836078699012
時代,0.0834099842980387
マヤ文字,0.331720885532986
王,0.2125697461304
事績,0.262836078699012
考古学,0.251748101383639
貴族,0.495735152713757
農民,0.653215269327647
生活,0.14256826568237
明らか,0.135384041106555
実像,0.197158183533005
気鋭,0.208246160848377
考古,0.331720885532986
学者,0.235028834772814
1,0.00676961402742838
章,0.071637536538249
何,0.063039144164397
2,0.00662620877751496
マヤ,0.331720885532986
遺跡,0.58539227473938
3,0.00756582732046786
諸王,0.331720885532986
女王,0.235028834772814
たち,0.0820848421778822
4,0.0108847464201842
暮らし,0.190938841402698
5,0.0207781051884895
宮廷,0.297278482115999
日常生活,0.251748101383639
復元,0.297278482115999
アグアテカ,0.331720885532986
6,0.0385556668463198
盛衰,0.331720885532986
