keyword,bm25
18分,0.964948876171799
集中,0.683679623059013
法,0.385713697953723
—,0.0211603369548535
時間,0.314100296386315
質,0.235028834772814
方法,0.247818245423558
仕事,0.255909455996942
締切,0.331720885532986
ため,0.0621557451711026
やる気,0.427912158125491
誰,0.12061364720648
経験,0.152294791132013
こと,0.104340245554885
テレビ,0.18809864641473
PC,0.277130967682351
あなた,0.129108520468731
処理,0.2125697461304
よう,0.0930096341754704
面倒,0.517569280151114
メール,0.217305697966652
返信,0.331720885532986
膨大,0.2125697461304
書類,0.277130967682351
目,0.140407495488006
レポート,0.242688564265364
作成,0.228393675282025
様々,0.197158183533005
インプット,0.58539227473938
アウトプット,0.54571836621863
有効,0.228393675282025
序章,0.105965092071019
今日も一日,0.331720885532986
無駄,0.222541049831717
1,0.00676961402742838
章,0.071637536538249
根性,0.331720885532986
2,0.00662620877751496
とき,0.149678930089894
3,0.00756582732046786
これ,0.12061364720648
4,0.0108847464201842
5,0.0207781051884895
6,0.0385556668463198
心,0.119213839580756
体,0.180438916922179
声,0.171775317234293
